Benchmark, Metaallo-Dangling, Baseline, Times Degradation
401.bzip2, 441.02, 434.12
401.bzip2, 441.54, 434.51
401.bzip2, 440.91, 434.09
401.bzip2, 441.32, 436.59
TOTAL:401.bzip2, 1764.79, 1739.31, 1.014


403.gcc, 446.86, 300.26
403.gcc, 446.05, 297.93
403.gcc, 445.92, 298.51
403.gcc, 442.41, 301.87
TOTAL:403.gcc, 1781.24, 1198.57, 1.486


433.milc, 556.51, 458.05
433.milc, 575.77, 456.37
433.milc, 575.49, 460.09
433.milc, 545.26, 458.07
TOTAL:433.milc, 2253.03, 1832.58, 1.229


445.gobmk, 653.23, 444.22
445.gobmk, 651.34, 442.93
445.gobmk, 653.56, 446.26
445.gobmk, 652.42, 443.84
TOTAL:445.gobmk, 2610.55, 1777.25, 1.468


456.hmmer, 385.60, 434.87
456.hmmer, 385.69, 435.82
456.hmmer, 386.10, 436.00
456.hmmer, 385.47, 436.64
TOTAL:456.hmmer, 1542.86, 1743.33, .885


458.sjeng, 517.92, 980.81
458.sjeng, 517.34, 981.53
458.sjeng, 537.86, 978.01
458.sjeng, 516.29, 979.23
TOTAL:458.sjeng, 2089.41, 3919.58, .533


462.libquantum, 547.41, 376.35
462.libquantum, 373.74, 378.57
462.libquantum, tee:, 368.14
462.libquantum, 377.96, 377.30
TOTAL:462.libquantum, , 1500.36, 


464.h264ref, 494.30, 1046.70
464.h264ref, 493.40, 1051.85
464.h264ref, 494.88, 1051.94
464.h264ref, 493.94, 1044.86
TOTAL:464.h264ref, 1976.52, 4195.35, .471


470.lbm, 337.72, 338.55
470.lbm, 381.60, 336.04
470.lbm, 339.97, 335.71
470.lbm, 383.36, 335.33
TOTAL:470.lbm, 1442.65, 1345.63, 1.072


482.sphinx3, 446.78, 442.67
482.sphinx3, 446.85, 443.31
482.sphinx3, 446.94, 443.03
482.sphinx3, 447.98, 442.26
TOTAL:482.sphinx3, 1788.55, 1771.27, 1.009


400.perlbench, 1284.92, 294.48
400.perlbench, 1283.34, 294.87
400.perlbench, 1273.59, 294.97
400.perlbench, 1282.79, 294.92
TOTAL:400.perlbench, 5124.64, 1179.24, 4.345


444.namd, 327.99, 326.16
444.namd, 327.85, 326.52
444.namd, 328.45, 325.97
444.namd, 328.43, 325.99
TOTAL:444.namd, 1312.72, 1304.64, 1.006


447.dealII, 274.26, 241.76
447.dealII, 291.17, 242.73
447.dealII, 275.83, 240.75
447.dealII, 291.51, 241.08
TOTAL:447.dealII, 1132.77, 966.32, 1.172


450.soplex, 0.49, 194.45
450.soplex, 0.49, 195.71
450.soplex, 0.49, 196.42
450.soplex, 0.49, 194.90
TOTAL:450.soplex, 1.96, 781.48, .002


453.povray, 233.17, 122.33
453.povray, 232.07, 122.57
453.povray, 232.69, 122.27
453.povray, 232.44, 122.22
TOTAL:453.povray, 930.37, 489.39, 1.901


471.omnetpp, 832.03, 217.52
471.omnetpp, 1158.05, 224.63
471.omnetpp, 1096.45, 219.43
471.omnetpp, 870.35, 227.04
TOTAL:471.omnetpp, 3956.88, 888.62, 4.452


473.astar, 441.50, 314.49
473.astar, 446.88, 312.34
473.astar, 440.52, 313.52
473.astar, 440.58, 314.90
TOTAL:473.astar, 1769.48, 1255.25, 1.409


483.xalancbmk, 243.10, 128.99
483.xalancbmk, 231.66, 128.90
483.xalancbmk, 245.51, 129.15
483.xalancbmk, 238.20, 130.23
TOTAL:483.xalancbmk, 958.47, 517.27, 1.852


